cz,czname,stateabbrv,n_ige_rank_8085,prob_p1_k1,prob_p1_k2,prob_p1_k3,prob_p1_k4,prob_p1_k5,prob_p2_k1,prob_p2_k2,prob_p2_k3,prob_p2_k4,prob_p2_k5,prob_p3_k1,prob_p3_k2,prob_p3_k3,prob_p3_k4,prob_p3_k5,prob_p4_k1,prob_p4_k2,prob_p4_k3,prob_p4_k4,prob_p4_k5,prob_p5_k1,prob_p5_k2,prob_p5_k3,prob_p5_k4,prob_p5_k5,frac_par_1,frac_par_2,frac_par_3,frac_par_4,frac_par_5,frac_kid_1,frac_kid_2,frac_kid_3,frac_kid_4,frac_kid_5,pop2000,intersects_msa,cs_race_bla,cs_race_theil_2000,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,gini99,frac_middleclass,taxrate,subcty_total_expenditure_pc,tax_st_diff_top20,eitc_exposure,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_labforce,cs_elf_ind_man,d_tradeusch_pw_1990,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,rel_tot,crime_violent,cs_fam_wkidsinglemom,cs_divorced,cs_married,incgrowth0010
100.0,Johnson City,TN,37362.0,0.3902275,0.2631402,0.16227727,0.122156225,0.06219881,0.2808458,0.24024294,0.20931278,0.17275897,0.0968395,0.19451682,0.20924437,0.21037725,0.2200068,0.16585477,0.13833548,0.17159383,0.20340617,0.25787276,0.22879177,0.121191904,0.12964198,0.17367133,0.24527463,0.33022013,0.23882554,0.23796906,0.2362561,0.16658637,0.12036294,0.2436165,0.21363953,0.19305712,0.19474332,0.15494353,"576,081",1.0,0.02084082,0.09038374,0.034865685,0.03015319,0.038239542,0.32525778,31559.768,0.46804,13.459,0.33345,0.54796,0.017183715,1886.1483,0.0,0.0,5.184547164957043,,2.728379,-0.015265618,0.013886936,4816.8154,-0.0024311612,0.58734745,0.23739718,5.293786338666029,0.0037529,0.005639831898639254,0.004697256115025491,0.011783706,-0.29785830035722505,0.51440334,0.001409524,0.18980315,0.11017292,0.6008929,-0.0022776292
200.0,Morristown,TN,15856.0,0.40013525,0.2603697,0.16568981,0.12015329,0.05365194,0.28996193,0.2431018,0.20076118,0.17126547,0.09490961,0.18948224,0.2195717,0.22065601,0.22689076,0.1433993,0.13686441,0.17542373,0.20084746,0.2572034,0.22966102,0.12167952,0.15595545,0.19451585,0.23136246,0.2964867,0.2797679,0.2651362,0.2326564,0.14883956,0.0735999,0.2622351,0.22597124,0.19513118,0.1871216,0.12954086,"227,816",1.0,0.01977912,0.09315301,0.026280908,0.027858246,0.025334772,0.2764278,29958.934,0.43459,10.6310005,0.32828,0.5375,0.018880775,2004.3368,0.0,0.0,4.505885578369306,,-3.4002736,-0.02352069,0.008779014,4762.225,-0.101182744,0.6249742,0.23775563,3.030479166438892,0.0047773,0.016206061031709802,0.014235172244267303,0.023055315,-0.7673547734994611,0.54389507,0.0018435931,0.18510601,0.11595841,0.6133591,-0.0021528497
301.0,Middlesborough,TN,4552.0,0.4042793,0.2393018,0.1570946,0.1266892,0.07263514,0.29243028,0.23585658,0.18804781,0.17450199,0.109163344,0.19758508,0.22173436,0.18770581,0.2118551,0.18111965,0.1407767,0.18203883,0.21359223,0.21601942,0.24757281,0.116161615,0.14141414,0.16161616,0.25252524,0.32828283,0.39015818,0.27570298,0.2001318,0.09050967,0.043497365,0.2956942,0.22539543,0.17706503,0.17047451,0.13137083,"66,708",0.0,0.014645919,0.06425009,0.024081122,0.014683077,0.025814319,0.35853583,22328.484,0.44095,10.691,0.33404002,0.46685,0.012750143,1189.8202,0.0,0.0,5.614119018226621,15.084936936936936,-9.315062,-0.0046290583,0.044972118,11840.353,0.11129849,0.47896314,0.2335314,2.062596351676532,0.0028932,0.008050008994423458,0.011602806260118727,0.007078037,-1.2702512717152377,0.66780597,0.00085447024,0.21100271,0.113451436,0.59028035,-0.0037121451
302.0,Knoxville,TN,48641.0,0.39992318,0.2747791,0.15741453,0.111602,0.056281213,0.28570014,0.2429888,0.19958378,0.16787235,0.10385492,0.20169407,0.20279023,0.21454908,0.21793722,0.1630294,0.14700855,0.16805555,0.2013889,0.2443376,0.2392094,0.12947501,0.13771017,0.18380418,0.22886881,0.32014182,0.2140581,0.20745873,0.20630744,0.19243026,0.17974548,0.23805021,0.20815773,0.19115561,0.19183405,0.17080241,"727,600",1.0,0.05636476,0.20999432,0.09210362,0.0842674,0.10196562,0.2685696,35884.293,0.50832,15.080001,0.35751998,0.5041,0.016066732,2356.8506,0.0,0.0,4.899846249463375,,-6.031831,-0.011071121,0.010995052,3480.4353,-0.023826126,0.61483055,0.1455054,1.0783084976265715,0.0042875,0.016302913688840022,0.013554150632215503,0.01996747,-0.221884615529828,0.60195297,0.0013441452,0.20560226,0.114277795,0.57514995,-0.0019974154
401.0,Winston-Salem,NC,33466.0,0.40552157,0.28963464,0.15919986,0.10084312,0.044800792,0.2791968,0.26133177,0.20699838,0.15502732,0.09744574,0.19909638,0.21024096,0.22906627,0.21596386,0.14563254,0.14433135,0.1752898,0.21501273,0.24667798,0.21868816,0.117748916,0.12525253,0.18672438,0.24155845,0.32871574,0.18075061,0.20238452,0.19841033,0.21137871,0.20707583,0.2241977,0.20994443,0.20023307,0.19461542,0.17100938,"493,180",1.0,0.17353097,0.262388,0.07186666,0.061080586,0.080625534,0.2918141,38891.746,0.46553,11.917,0.34636,0.49991,0.015877746,1891.4504,1.0,0.0,5.462676324912767,15.385280906737568,-2.2970347,0.022966137,0.014193601,9715.328,0.0515534,0.656087,0.21519853,1.0160847787977956,0.0037629,0.02210146396853076,0.01861997647917596,0.052948195,-0.01779595878475677,0.48793748,0.0026578652,0.22047086,0.09235052,0.5858972,-0.014049402
402.0,Martinsville,VA,6742.0,0.39416847,0.2813175,0.16522679,0.1074514,0.051835854,0.28756058,0.26655897,0.2003231,0.14431879,0.101238556,0.19794345,0.22879177,0.19730078,0.20694087,0.16902314,0.12280702,0.16447368,0.2116228,0.21820176,0.28289473,0.11681416,0.12920354,0.17522123,0.24778761,0.33097345,0.27469593,0.27543756,0.23079205,0.13527143,0.08380303,0.2595669,0.23657668,0.18940967,0.1673094,0.14713734,"92,753",0.0,0.22380947,0.13652563,0.023731109,0.015375408,0.028269544,0.31302428,31264.812,0.44448,10.679999,0.33768,0.53839,0.013621727,1557.879,0.0,0.0,5.739860071432066,,4.2273808,,0.010781323,1113.0,-0.115502454,0.59939295,0.39450666,3.2766714138018473,0.0032874001,0.0068137957801903985,0.010069755156167455,0.024992118,-0.9028151331519464,0.45443273,0.0018975127,0.24088506,0.09563996,0.5795217,-0.011383228
500.0,Greensboro,NC,69646.0,0.39467728,0.2982372,0.16489471,0.09479388,0.04739694,0.29449257,0.26491338,0.20160891,0.14950494,0.0894802,0.19507334,0.2194219,0.21878114,0.2142247,0.15249893,0.1428252,0.1795751,0.21393962,0.2430861,0.22057399,0.11523677,0.13873842,0.18609121,0.2392102,0.32072338,0.20933004,0.23203056,0.20167705,0.19261695,0.1643454,0.23674008,0.2255406,0.19721161,0.18387273,0.15663499,"1,055,133",1.0,0.21755931,0.22006495,0.06765316,0.05758893,0.076798044,0.30493262,36581.84,0.52358,18.228,0.3413,0.51009,0.014899475,1932.4557,1.0,0.0,5.007796304470756,16.678006566063814,-3.7159934,0.015528088,0.014216217,4528.4893,-0.017433494,0.66594464,0.26134688,2.0505001447139284,0.0035349,0.016507871519514602,0.015370574136151557,0.050223336,-0.513180378824653,0.433969,0.0034608566,0.23660554,0.09554718,0.5601948,-0.0135504035
601.0,North Wilkesboro,NC,5927.0,0.38075018,0.25831565,0.18329795,0.1259731,0.051663127,0.25690275,0.25330132,0.21788715,0.16686675,0.10504202,0.1997226,0.20041609,0.21914008,0.21636616,0.16435507,0.11820331,0.1572104,0.20567375,0.26595744,0.25295508,0.116071425,0.13928571,0.2,0.20714286,0.3375,0.23840053,0.28108656,0.2432934,0.14273663,0.09448288,0.23941286,0.2171419,0.20651257,0.18710984,0.14982285,"90,016",0.0,0.031927656,0.11409641,0.011896075,0.008601978,0.0124235265,0.2893356,31544.059,0.44603,12.645,0.31958,0.56018,0.01080706,1661.0255,1.0,0.0,5.296090728659817,16.17796976241901,6.6981893,0.021033235,0.011109136,880.0,-0.123175,0.617435,0.27537945,2.5728526981305695,0.0033693998,0.011975648773551369,0.011886775684322786,0.027426854,-0.19309308645297565,0.5613891,0.0026572384,0.16520125,0.0873082,0.6322625,-0.010825817
602.0,Galax,VA,3790.0,0.36451614,0.2376344,0.18494624,0.13333334,0.07956989,0.22490707,0.23791821,0.22211896,0.21003717,0.105018586,0.13763234,0.21077959,0.22714148,0.24254091,0.18190567,0.116412215,0.14694656,0.1889313,0.27099237,0.27671754,0.09049774,0.1040724,0.19457014,0.239819,0.37104073,0.24538259,0.283905,0.27414247,0.13825858,0.058311347,0.21240106,0.21002638,0.20817941,0.21029024,0.1591029,"64,676",0.0,0.028959738,0.13119748,0.0054097157,0.004165713,0.005661258,0.325102,30683.008,0.35621,8.705999,0.26915,0.60842,0.010872228,1208.0938,0.0,0.0,5.376679333555171,12.326297814207651,4.8995543,,,,,0.59368616,0.32108366,4.3025831157713785,0.0039142002,0.005535283567320181,0.005798132228338178,0.022852449,-0.8011903647056743,0.43017504,0.001329705,0.16680239,0.08945576,0.6222348,-0.00967354
700.0,Spartanburg,SC,24797.0,0.35872105,0.3172265,0.185917,0.09502425,0.04311119,0.27498806,0.29045114,0.21743982,0.14697912,0.070141874,0.1905955,0.22008094,0.23068029,0.2133359,0.14530738,0.12121872,0.17410229,0.22568008,0.26202393,0.21697497,0.11692405,0.13331233,0.16703436,0.2477151,0.3350142,0.22450297,0.25297415,0.20925918,0.18530467,0.12795903,0.22740655,0.24006936,0.20821068,0.18340929,0.14090414,"354,533",1.0,0.20749831,0.1394965,0.0451206,0.0441604,0.045174144,0.29897046,33416.754,0.4713,13.061001,0.34069002,0.5285,0.0155269075,2498.8054,0.0,0.0,5.421495123661611,15.939934342709524,-1.0086955,,0.019744283,7264.3633,0.0066846753,0.62953085,0.29463103,0.945886281670405,0.0039405,0.017028034061709347,0.015558495259961697,0.029063905,-1.0008878319642847,0.59608555,0.0032782655,0.24610297,0.09868777,0.56131065,-0.013856686
800.0,Gastonia,NC,29902.0,0.40975007,0.27445233,0.16723233,0.09703795,0.051527306,0.31699303,0.2631795,0.19854854,0.14076407,0.080514856,0.21744342,0.21969129,0.22403717,0.19466507,0.14416304,0.14663985,0.1747947,0.21870287,0.24048936,0.21937323,0.10727639,0.12021858,0.1832039,0.25165373,0.3376474,0.21677479,0.24423115,0.22316232,0.19955187,0.11627985,0.2565046,0.22165741,0.19968563,0.17610863,0.14604375,"413,331",1.0,0.1377782,0.13367462,0.038078874,0.03441436,0.041466244,0.28839767,33582.14,0.41506,10.08,0.31426,0.54393,0.012982995,1996.3302,1.0,0.0,5.250650802554715,16.36963133432607,2.4118109,0.02952789,0.014516211,10243.961,-0.102231726,0.64767176,0.31108126,1.4663884926240196,0.0032236,0.016945256949031165,0.015331538161908978,0.028618248,-0.6593977155029912,0.60123724,0.0040742164,0.21391876,0.09411669,0.59614784,-0.013851532
900.0,Charlotte,NC,97400.0,0.38194847,0.3145582,0.17319143,0.08651668,0.043785237,0.286164,0.28439328,0.21154886,0.13560572,0.08228813,0.19844733,0.2299541,0.22916077,0.19470732,0.1477305,0.14843181,0.18406793,0.21704699,0.2299677,0.22048557,0.11694668,0.13360628,0.18499695,0.23050496,0.33394513,0.19485626,0.20873716,0.1811807,0.19706365,0.21816222,0.22487679,0.22774127,0.20255646,0.17604722,0.16877824,"1,423,942",1.0,0.2273302,0.22331932,0.0983462,0.07842175,0.11966082,0.24078022,41423.258,0.51624,15.613,0.36010998,0.47738,0.016165523,2700.7725,1.0,0.0,5.6735040368590175,16.993594671129465,-2.2910624,0.022949686,0.01334324,4790.2783,-0.020733131,0.69602215,0.17113529,0.8368018083203264,0.0039015,0.034231029072813356,0.021167997011114218,0.06525441,-0.483831368524449,0.4959942,0.003702398,0.21928854,0.087755315,0.5633191,-0.010779724
1001.0,Boone,NC,4332.0,0.3298479,0.26711026,0.21007605,0.13688213,0.05608365,0.22076789,0.2452007,0.2390925,0.19895288,0.09598604,0.17938553,0.20317146,0.23488602,0.23389494,0.14866205,0.12903225,0.18387097,0.21451613,0.27903226,0.19354838,0.12871288,0.16633664,0.21980198,0.22772278,0.25742576,0.24284396,0.26454294,0.23291782,0.14312096,0.11657433,0.21375808,0.22276086,0.22530009,0.20683287,0.1313481,"77,361",0.0,0.02185856,0.076402426,0.030702468,0.02760642,0.030750029,0.37488598,25952.73,0.48711,14.275999,0.34434998,0.53016,0.01847002,1348.4637,1.0,0.0,5.264092185077121,13.936001630877955,9.977794,0.012677218,0.02585282,1673.6685,0.23550987,0.5886975,0.109845355,2.0113604679810098,0.0042634998,0.014051007613655459,0.016558731143599487,0.017842997,0.01234277569716104,0.48845026,0.001705118,0.16738082,0.08976895,0.5265593,0.0021935992
1002.0,Morganton,NC,10458.0,0.39473686,0.25272232,0.18012704,0.11796733,0.054446463,0.29045787,0.23593149,0.20866829,0.16812304,0.0968193,0.16997562,0.20724486,0.23685127,0.24277255,0.1431557,0.14692482,0.16856492,0.22152619,0.25284737,0.21013667,0.12140992,0.13968669,0.20104438,0.23629242,0.30156657,0.21074775,0.27357048,0.2745267,0.16790974,0.07324536,0.24287626,0.21323389,0.21199082,0.19726525,0.13463378,"164,760",1.0,0.047359794,0.1165366,0.012304153,0.010698186,0.010604544,0.3149605,30725.512,0.3508,7.7760005,0.27304,0.60328,0.012274903,1825.9518,1.0,0.0,4.926351105541857,15.707923049234092,5.5558596,0.017786935,0.018208303,887.85614,-0.15529552,0.61005676,0.35483652,3.3316498079541508,0.0036082,0.013103908715707695,0.01498543335761107,0.038391966,-0.23112977476849889,0.56877273,0.0021691178,0.17853874,0.09613002,0.60704374,-0.015628494
1100.0,Hickory,NC,25774.0,0.40200794,0.27462873,0.17736875,0.10102489,0.04496967,0.29476053,0.2584378,0.20652524,0.15638058,0.083895855,0.20743507,0.21609235,0.22831438,0.21320659,0.13495162,0.14459637,0.16295186,0.22963102,0.25079602,0.21202472,0.11183281,0.1296244,0.1852584,0.24738774,0.32589665,0.18549702,0.24140607,0.22856367,0.20714673,0.13738652,0.23845737,0.21428572,0.20796151,0.19116163,0.14813378,"375,363",1.0,0.09086671,0.13408476,0.03751313,0.028770924,0.041844063,0.32150075,36023.973,0.43488,11.834,0.31654,0.56804,0.012512645,1917.402,1.0,0.0,5.204936898259904,16.672078891257993,3.202498,0.026096528,0.010656351,4109.336,-0.16358271,0.68800557,0.36515042,3.9485922585409576,0.0037977002,0.022359689154232035,0.018595333050940025,0.042310156,-0.23540835303667762,0.57753164,0.002215675,0.19019447,0.09470301,0.60080165,-0.014445595
1201.0,Franklin,NC,2729.0,0.33996937,0.29555896,0.18070444,0.12710567,0.05666156,0.24393532,0.21024258,0.20080863,0.23045821,0.114555255,0.16690856,0.20174165,0.24092889,0.23657474,0.15384616,0.13466334,0.20698254,0.2319202,0.2319202,0.19451371,0.08196721,0.1352459,0.19672132,0.27868852,0.30737704,0.23928179,0.27189445,0.25247344,0.14694028,0.08941004,0.21692927,0.2213265,0.21033345,0.21179919,0.13961157,"44,861",0.0,0.010499097,0.044337973,0.010646467,0.009372982,0.01119703,0.4157828,37260.508,0.51602,20.552,0.3105,0.56475,0.018246097,1433.7782,1.0,0.0,5.199437771791877,15.814117853384776,4.109753,0.033940177,,,,0.5576459,0.15788384,1.0997022260912237,0.0057550003,0.012483003053877532,0.00974120059740086,0.03088232,-0.2337045455196635,0.6133167,0.0020108137,0.16604632,0.10332849,0.6243335,0.008580809
1202.0,Sylva,NC,3410.0,0.32778865,0.2661448,0.21135029,0.13405088,0.06066536,0.25051975,0.26611227,0.23180874,0.15384616,0.0977131,0.168,0.196,0.21466666,0.25733334,0.164,0.11922141,0.20194647,0.20437956,0.243309,0.23114355,0.13584906,0.16226415,0.19245283,0.23773585,0.27169812,0.29970676,0.28211144,0.21994135,0.120527856,0.07771261,0.23079179,0.23489736,0.21554253,0.18797654,0.13079178,"54,082",0.0,0.014348581,0.32603067,0.016147032,0.019604832,0.01425846,0.41210684,28766.82,0.404,8.4210005,0.31979,0.52059,0.012075881,1581.0417,1.0,0.0,5.622215487195031,14.643370207607214,3.849286,0.022156514,0.036980882,971.2275,0.11177484,0.6091752,0.10599493,6.567269437131679,0.0053103,0.009725971672645243,0.010373137088125439,0.014753011,-1.0006839185404224,0.4091195,0.0020894199,0.21684067,0.0990897,0.5818828,-0.007882103
1203.0,Asheville,NC,24957.0,0.3650552,0.26532167,0.18937951,0.11686334,0.06338028,0.26538938,0.23629591,0.22050737,0.17615753,0.10164981,0.18342777,0.21582861,0.22893059,0.21901558,0.15279745,0.15111563,0.17667343,0.21440162,0.24685599,0.21095334,0.13216743,0.15280963,0.18033257,0.23623854,0.29845184,0.2105221,0.2258685,0.22630925,0.19753976,0.13976039,0.22662981,0.21432865,0.20903955,0.19573666,0.15426533,"398,505",1.0,0.05033312,0.16819838,0.035723384,0.03400732,0.03664989,0.31397945,37445.125,0.46143,13.046,0.33097002,0.54513,0.015099687,2059.4146,1.0,0.0,5.6491171557829665,16.176243429033565,9.045191,0.02436009,0.022584409,5560.466,0.0011793025,0.6041282,0.17829385,1.827455613781777,0.0047740997,0.017309694985006462,0.012712513017402541,0.038004905,0.05522190824418491,0.57719225,0.0032070184,0.20327097,0.099264406,0.59159213,-0.002378152
1204.0,Andrews,NC,3687.0,0.33395004,0.25531915,0.20814061,0.12210916,0.08048104,0.22960152,0.23149905,0.21252371,0.20967741,0.116698295,0.19065191,0.20787208,0.22386225,0.2300123,0.14760147,0.12731007,0.16221766,0.22792608,0.26488706,0.21765913,0.15079366,0.15079366,0.13095239,0.3015873,0.26587301,0.2931923,0.28586927,0.22050448,0.13208571,0.06834825,0.23270953,0.2186059,0.210198,0.2020613,0.13642527,"59,681",0.0,0.009349709,0.050597016,0.0077434746,0.0074222097,0.0072736796,0.36084786,33712.03,0.84733,55.821003,0.28911996,0.51937,0.011532463,1931.5419,1.0,0.0,5.16721613469652,15.684756603103162,1.5512376,0.016589286,0.033511505,7563.4165,-0.110152066,0.5246205,0.1538307,2.852943039793168,0.0048527,0.011511201219818704,0.0043397396156230625,0.014702197,-0.9993004809500875,0.5491027,0.0016253078,0.16566412,0.088563666,0.6476094,0.0048557194
1301.0,Bennettsville,SC,5968.0,0.39367947,0.33227992,0.16388261,0.08036117,0.02979684,0.30904254,0.29787233,0.21595745,0.11914894,0.057978723,0.19724284,0.23966065,0.23117709,0.21420997,0.117709436,0.13551402,0.16666667,0.21339564,0.25233644,0.23208722,0.125,0.15277778,0.16319445,0.22916667,0.3298611,0.3711461,0.3150134,0.15800938,0.107573725,0.048257373,0.2952413,0.28032842,0.19621314,0.13941018,0.08880697,"71,586",0.0,0.39956138,0.076508634,0.009885982,0.008339787,0.0072418093,0.3400332,25531.406,0.45517,12.783,0.32734,0.43947,0.017442537,1335.0997,0.0,0.0,5.4929563754597925,14.902903297848585,-10.919571,0.018695936,0.013969212,1272.0,-0.11195402,0.5744633,0.35963434,2.828323548393674,0.0023744002,0.015310256195345458,0.018006314083759394,0.012357196,-2.4401389315553357,0.48985836,0.003757718,0.316179,0.09123583,0.5186066,-0.02447197
1302.0,Florence,SC,42138.0,0.38058853,0.33310178,0.17201313,0.07861834,0.0356782,0.27956274,0.29762357,0.21634981,0.12661597,0.07984791,0.19911045,0.23839882,0.22194219,0.19065975,0.14988881,0.14004585,0.19354223,0.21857089,0.22506687,0.22277416,0.1285827,0.14278202,0.18485406,0.22745201,0.3163292,0.3758128,0.24965589,0.1600693,0.124210924,0.09025108,0.27369595,0.274574,0.19801605,0.14015853,0.11355546,"548,986",1.0,0.34077007,0.20132881,0.046740204,0.05366233,0.04265347,0.3266602,32610.357,0.55174,13.675,0.41499,0.42169,0.017293002,1725.8469,0.0,0.0,5.70984791505378,15.871223623121432,-2.105922,-0.017499972,0.01275078,3523.3062,-0.032480866,0.6145274,0.16173005,1.0597934972377379,0.0038201,0.022949583413784686,0.013523113522020598,0.023216562,-1.9584136806636931,0.43571058,0.002934501,0.294691,0.09512408,0.5294711,-0.0060923877
1400.0,Fayetteville,NC,50306.0,0.3929615,0.30969456,0.17244355,0.08665339,0.03824701,0.29994878,0.28692663,0.20915942,0.13468432,0.069280855,0.20800781,0.24277344,0.23671874,0.1875,0.125,0.16497253,0.19876374,0.22252747,0.22211538,0.19162089,0.1365541,0.15208282,0.1841262,0.24574809,0.28148878,0.29936787,0.2717171,0.20355424,0.14471436,0.08064644,0.27636862,0.26112193,0.20369339,0.15266569,0.10615036,"644,101",1.0,0.29853547,0.17329334,0.05197577,0.052565884,0.047786854,0.3216631,29959.111,0.4628,11.49,0.3479,0.49408,0.013378389,2089.7979,1.0,0.0,4.866018722025778,16.342743690752428,-5.4835944,0.023846488,0.013972964,2936.9368,-0.09966358,0.63784695,0.20191148,4.161126346681844,0.0030373998,0.030481244401111007,0.037509645226447404,0.046625547,-2.2102321968327625,0.37744546,0.0030383433,0.27581125,0.0922889,0.54476655,-0.010620236
1500.0,Wilmington,NC,23683.0,0.40405193,0.29476386,0.16792695,0.09145384,0.041803397,0.29407367,0.26322678,0.21574126,0.13927837,0.08767994,0.23018776,0.20970495,0.22457936,0.19263594,0.14289197,0.17114852,0.19552651,0.2224177,0.21135963,0.19954762,0.13929121,0.15439138,0.18798152,0.22650231,0.29183358,0.29595068,0.22585821,0.17316218,0.16801082,0.13701811,0.27369842,0.23700544,0.20043914,0.15842588,0.13043112,"361,559",1.0,0.21038613,0.15476283,0.06384253,0.059699222,0.06934398,0.31749415,35616.594,0.52321,12.594,0.39727,0.46309,0.017944505,2143.6377,1.0,0.0,5.378792987188132,16.101843110811416,-0.1525012,0.020422185,0.019360602,3723.0442,0.15620619,0.60983795,0.119741775,0.4896807873839748,0.004023,0.03271941785434742,0.017410713050981998,0.028214717,-1.2280170878669616,0.4339928,0.0031699706,0.2534681,0.09566878,0.5561864,-0.00026767942
1600.0,Wilson,NC,16971.0,0.39836493,0.32125604,0.17131178,0.07710888,0.03195838,0.29796892,0.30704898,0.20310633,0.12497013,0.06690562,0.1955229,0.23749563,0.24903813,0.17733473,0.14060861,0.13445379,0.18287314,0.20488195,0.23969588,0.23809524,0.10654937,0.13782991,0.18328446,0.26001954,0.31231672,0.31712922,0.24659714,0.16846386,0.14725119,0.1205586,0.2653939,0.26115137,0.19863296,0.15178834,0.12303341,"216,840",1.0,0.4158873,0.1694319,0.053191338,0.04950366,0.05564109,0.36009496,31548.578,0.51402,11.255,0.40147004,0.44348,0.015048576,2899.386,1.0,0.0,5.084143345533797,15.843030938647091,-6.231404,0.035276547,0.023058476,5704.575,-0.09334232,0.61949956,0.2321969,3.633439798440708,0.0032369,0.013198671831765357,0.015320051650986903,0.035108037,-1.3951949755006785,0.39812303,0.0037893124,0.291425,0.0871221,0.52450234,-0.00651335
1701.0,Raleigh,NC,86697.0,0.3853916,0.29784817,0.17114408,0.09562951,0.049986634,0.28446496,0.2676424,0.21444188,0.14369003,0.08976072,0.20017625,0.213327,0.2285114,0.19997288,0.15801248,0.14220211,0.17144048,0.21645924,0.2335497,0.23634848,0.12127983,0.13110194,0.18257314,0.2361521,0.328893,0.17260113,0.18992583,0.17015582,0.19369759,0.27361962,0.21533617,0.20761964,0.20103349,0.18767662,0.18833408,"1,412,127",1.0,0.23015918,0.15934998,0.09878719,0.08725952,0.11377541,0.24953716,40545.81,0.5086,17.762,0.33098,0.44848,0.017746152,3146.7046,1.0,0.0,5.729679736295828,15.959349802451218,-0.3586879,,0.012038577,5642.452,0.1345299,0.6944391,0.1412988,2.940955381004511,0.003982,0.033361022061046915,0.02266085132569521,0.08519555,-0.40136127461383236,0.3994598,0.0022364217,0.21063374,0.08524875,0.54431474,-0.008822666
1702.0,Henderson,NC,4683.0,0.4264463,0.29421487,0.17410469,0.071625344,0.033608817,0.32230216,0.2935252,0.22230215,0.10431655,0.05755396,0.22317597,0.23175965,0.21745351,0.19456366,0.13304721,0.15068494,0.15851273,0.24266145,0.22504893,0.22309197,0.14179105,0.11940298,0.20895523,0.2238806,0.30597016,0.38757208,0.2968183,0.1492633,0.10911809,0.05722827,0.31881273,0.25987616,0.20435618,0.12513345,0.091821484,"62,926",0.0,0.49931666,0.09495664,0.033511553,0.032143574,0.033790212,0.3449313,29491.895,0.4963,12.68,0.3695,0.40035,0.013773896,2116.281,1.0,0.0,5.431772452899214,16.50678617157491,-10.28387,0.04207213,0.015891682,770.0,-0.15611692,0.580119,0.26197675,1.0731109005963033,0.0029358,0.01482693957982392,0.019816927819979024,0.030904254,-1.6357095382391422,0.43716428,0.0036233035,0.33942384,0.08619575,0.52414024,-0.022357695
1800.0,Goldsboro,NC,15517.0,0.36787906,0.3010517,0.18426819,0.1014461,0.04535495,0.28025168,0.25798646,0.21829623,0.15634075,0.08712488,0.18852459,0.21027742,0.24054225,0.20649433,0.15416141,0.1309575,0.18076427,0.22284243,0.23185916,0.23357664,0.112878785,0.13333334,0.16287878,0.23863636,0.35227272,0.294129,0.26628858,0.20442095,0.15009345,0.08506799,0.25062835,0.23870593,0.20880325,0.16878262,0.13307984,"222,553",1.0,0.31101355,0.11320617,0.025556004,0.028970249,0.021158205,0.34841287,28924.625,0.45733,11.110001,0.34622997,0.50059,0.013404864,1843.966,1.0,0.0,4.786383798571085,16.293938891651464,-4.0234423,0.015213766,0.017973246,2664.691,-0.090956494,0.6173569,0.19093601,1.4814412290577097,0.0035067,0.016485960647576084,0.021338737289544513,0.06504087,-1.6120601961247565,0.39466104,0.0025564877,0.25020528,0.084385425,0.554769,-0.008572156
1900.0,Jacksonville,NC,37821.0,0.37432447,0.30213112,0.18180892,0.094728254,0.04700724,0.2679696,0.27155265,0.21574375,0.15157437,0.09315961,0.17960574,0.21635434,0.23192991,0.21343392,0.15867607,0.14740787,0.18051217,0.21892567,0.23500937,0.21814491,0.13199426,0.13653754,0.18651363,0.22955523,0.31539932,0.25930038,0.2435155,0.21728669,0.16932392,0.11057349,0.24089791,0.23714338,0.20776817,0.17302556,0.14116496,"536,909",1.0,0.2561123,0.13557321,0.049144045,0.048159305,0.048380326,0.3751614,29500.39,0.46445,11.594,0.34851,0.51684,0.013913433,2523.385,1.0,0.0,5.022745514490695,16.2804131731351,0.7575594,0.023776026,0.013037591,1084.9718,0.02103376,0.6538132,0.12623358,0.810921694636326,0.0036712,0.03273366622649276,0.03856333196128208,0.0340685,-1.9257765004995309,0.34186053,0.0021989613,0.24342915,0.084307015,0.5440954,-0.0042681755
2000.0,Virginia Beach,VA,87247.0,0.37506518,0.30211702,0.1710293,0.09823757,0.053550944,0.26641792,0.25602347,0.21748401,0.15927505,0.100799575,0.19266103,0.21150152,0.2318472,0.20309336,0.16089687,0.14578454,0.17172131,0.21774004,0.23553865,0.22921546,0.11641722,0.12552075,0.18353648,0.23800339,0.33652213,0.21981272,0.21502171,0.22083281,0.19576605,0.14856671,0.228111,0.22043164,0.20545119,0.18216099,0.16384518,"1,119,468",1.0,0.30820087,0.18929054,0.11084954,0.111149125,0.108749755,0.25349888,34928.805,0.45112,10.785,0.34327,0.52275,0.02443881,2365.7444,0.0,0.0,5.897450451003252,15.308997701962168,5.3901887,,0.011612659,3090.3813,-0.033643574,0.6826952,0.09088859,0.40606407490305096,0.0042706,0.028453694076114727,0.029294271922020103,0.044734642,-0.9496713957858154,0.3457321,0.0012764992,0.26089326,0.09427957,0.52686936,0.005751016
